Blog	in	is	it	my	for	that	this	s	on	you	was	with	be	but	as	not	t	have	me	so	from	at	are	out	we	up	what	about	or	just	all	if	time	can	get	there	do	he	when	nbsp	like	one	her	who	will	they	by	know	don	m	now	am	how	even	would	new	things	had	people	some	no	being	an	his	because
Home Grown Home	1	3	0	2	1	1	3	0	1	0	0	1	0	0	0	0	3	1	0	3	1	0	2	0	4	1	0	0	0	1	0	0	0	1	0	0	1	10	1	0	0	0	0	0	0	0	0	2	1	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
Web Science and Digital Libraries Research Group	15	11	2	1	5	5	9	0	5	0	1	1	5	0	1	0	0	1	0	1	1	3	2	0	0	0	1	2	1	0	1	1	2	1	0	0	0	0	2	5	0	3	0	0	0	0	5	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
VoxMassacre	2	1	0	0	1	2	0	2	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Classical Gas Emissions	2	0	2	2	1	0	0	3	0	1	0	2	0	0	1	1	0	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
Mike Wilson's Music Blog	11	7	1	0	3	12	5	6	6	2	0	5	4	1	6	0	0	1	0	1	1	1	4	2	0	0	1	0	1	0	1	0	0	2	0	2	2	1	2	0	2	2	0	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	1	1	1	2	1	4	0
mene mene tekel upharsin	12	9	5	3	2	8	2	0	4	3	1	0	3	0	1	5	0	2	4	0	0	2	5	0	1	3	0	0	1	0	0	2	2	1	1	0	0	1	1	0	1	0	0	3	2	1	0	0	0	0	0	1	6	0	0	0	0	1	4	1	0	3	0	1	0
CRUCIAL CHANGES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
quella vita	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
My Gifts, Among Other Things	8	0	3	2	1	0	0	0	1	0	1	1	1	0	0	5	0	0	2	2	1	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
[insert imaginative title here]	1	3	3	0	0	3	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
one mOMenT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Private Property	1	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
matt sarah & maia	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Linnéa Pettersson	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Withenay Wanders	7	9	10	2	0	5	1	2	0	5	3	2	2	0	1	3	0	3	1	1	1	3	1	2	2	1	1	1	2	1	0	1	0	3	0	1	0	2	1	3	1	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	4
Happy, Happy...	3	4	6	3	5	1	4	3	4	1	9	5	1	6	6	2	7	2	1	4	3	2	0	3	0	7	1	1	2	3	0	1	0	0	0	0	1	8	1	0	2	0	3	0	1	0	0	0	1	1	1	0	1	0	2	0	1	1	0	0	1	1	0	2	0
Starving, Hysterical, Naked	2	0	5	5	0	2	1	1	0	2	1	2	1	2	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	2	1	1	1	1	1	0	2	0	0	3	1	1	0	0	2	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0
What the heck...	12	10	7	5	4	11	3	5	2	14	3	7	2	4	2	11	5	4	1	2	3	0	3	0	2	1	3	5	4	1	2	2	1	4	1	2	1	0	1	0	0	3	1	2	1	3	3	1	5	0	0	4	6	1	0	0	0	0	5	1	1	2	2	0	1
Diary Of A Mad Black Down Low Man	12	15	2	10	3	13	8	12	16	9	5	7	5	8	1	12	7	5	5	7	4	1	2	5	0	1	3	7	1	1	3	3	0	5	1	2	4	3	2	0	2	3	2	2	4	4	4	6	4	7	9	5	2	0	0	8	8	0	4	1	2	0	1	3	4
Domestic Dust	1	3	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Friends of Hollis Hawthorne	3	0	4	0	0	0	1	1	2	1	4	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
idle random thoughts	1	3	4	1	0	0	0	1	0	0	0	0	1	2	2	1	2	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	2	1	0	0	1	0	2	0	0	1	0	1	1	0	0	1	1	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0
Elizabeth's Story	1	8	0	6	0	0	1	1	1	0	2	0	1	0	0	0	3	1	1	1	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	5	0	0	0	0	2	1	0	0	0	0	2	0	2	1	0	0	0	0	0	1	0	0	0	0	1	0	1
Welcome to My Musical Brain	4	2	2	3	3	6	3	1	1	6	1	1	2	0	2	1	0	1	1	0	2	1	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	1	0	1
WonderWanda.....art & more!	0	2	1	1	2	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	1	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Do You Know How to Waltz?	0	4	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Michael Pancier Photography Blog	1	0	1	4	0	0	0	1	2	4	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
August Amour	5	3	0	3	2	2	2	0	0	0	2	1	0	2	2	1	1	4	2	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	2	2	0	0	1	2	0	0	0
Exclusive Zone	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THE BELLS	0	0	2	0	1	0	0	0	0	0	3	2	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
modforever	4	0	0	0	4	0	1	4	4	0	6	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Enter Blog Title Here	6	6	7	0	3	16	3	3	3	5	1	4	4	7	5	1	10	5	2	0	3	1	8	0	9	2	5	3	0	1	0	0	0	3	2	0	3	0	0	0	1	0	0	0	0	6	0	0	6	0	1	0	1	0	0	0	6	0	3	3	1	1	1	0	2
It's your choice, like the clothes you wear....what you want YOUR mood to be....	0	3	0	2	2	3	0	0	2	1	0	1	1	0	0	3	0	3	2	1	0	1	0	0	0	2	0	0	0	0	0	3	0	0	0	0	2	1	1	0	2	2	2	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
The Roman Games Diary	7	0	1	1	1	1	1	0	3	0	1	5	0	1	0	0	1	0	0	0	1	3	0	2	0	2	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	2	0
Tragic Hero	10	8	15	6	5	7	9	18	3	4	6	8	3	4	3	2	5	3	4	4	3	4	3	1	1	1	2	3	1	3	3	2	3	2	2	3	0	3	0	3	1	4	0	1	1	2	1	1	1	4	0	0	4	1	2	1	0	2	1	1	5	0	3	0	4
The Brown Bag AllStars	3	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ramblings and Reminiscences	0	0	1	0	0	1	1	0	1	0	0	0	1	2	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
shyng-a-shong //	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chasing Adi	2	1	0	2	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Memories to Cherish	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ron Olesko's Folk Music Notebook	0	0	0	2	0	0	2	0	1	3	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
Feeping Creatures:Feep o' the Morning	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
Rick, Annie & Zac Clarke	5	1	1	3	5	4	0	0	0	0	2	4	1	0	0	0	1	2	0	4	0	1	1	0	2	1	0	2	0	1	1	0	0	1	2	0	2	2	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	1	1	1	0	1	0	1	0	0	0	2	0
Raped, Lost & Alone	14	3	4	23	7	6	13	5	6	7	29	9	3	9	2	4	17	1	18	3	4	10	0	2	0	6	6	0	2	11	7	1	1	0	3	7	1	17	1	0	7	4	0	4	1	5	0	3	7	5	2	1	0	2	0	0	1	5	4	0	0	3	1	8	3
Autour de Babel	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Ultramaroon rises again	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MilpitasChat.com	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dame Eleanor Hull	2	1	0	0	1	5	3	1	1	0	2	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0
THE JONESES	6	14	14	1	2	9	3	2	4	0	2	4	4	5	2	2	10	3	3	7	0	6	3	2	7	3	2	0	0	5	5	3	4	4	2	0	2	1	4	5	3	0	26	0	3	1	1	2	2	0	1	5	1	2	0	0	1	0	1	1	2	2	0	0	0
Stop Six Records	9	7	6	7	5	20	3	5	1	2	4	7	6	7	14	10	3	5	3	4	2	4	9	6	4	4	5	5	7	2	2	4	1	2	1	6	7	0	0	0	6	4	0	3	3	4	4	0	0	1	2	4	1	1	2	0	2	3	7	2	1	3	6	0	4
The Blue Pitcher	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lollo's Mobile Blog	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jenni Lynn	3	5	9	7	1	4	2	2	7	5	2	2	1	4	1	0	5	4	2	3	3	0	0	2	2	5	1	2	0	4	1	1	0	1	6	0	1	0	1	0	1	0	2	1	0	1	0	1	2	2	0	0	2	2	2	0	0	0	0	0	0	1	1	0	0
the Jennings Secede	3	4	3	8	2	3	1	0	1	0	0	3	0	1	2	2	0	2	3	2	2	0	2	1	0	1	0	1	2	0	3	0	0	2	0	0	0	0	0	32	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1
The Crystal Valley Youth Group!	5	2	3	0	5	1	0	0	0	6	7	4	1	1	0	0	0	4	1	0	0	2	2	1	2	1	2	3	0	0	1	0	3	0	2	0	0	0	2	0	0	1	0	2	0	7	0	0	0	0	0	0	1	0	1	3	0	2	2	2	0	0	1	0	0
Just for Today in OA	0	0	2	0	1	0	0	1	2	3	0	1	0	0	0	0	1	1	2	2	2	0	0	0	0	0	4	3	0	1	0	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	0	1	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0
Lucca's foibles	1	0	1	2	0	0	0	1	2	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Conversations with Dhamma	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	3	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
rodney's notes	12	4	5	8	9	4	7	2	2	1	6	8	7	3	3	1	5	5	0	0	7	5	1	2	4	3	6	2	2	1	3	1	2	3	2	1	2	4	3	0	1	7	0	7	2	2	1	1	2	6	1	1	0	2	1	0	0	2	2	4	2	0	3	4	0
Melindanicity	15	11	17	10	11	11	4	8	13	7	2	7	8	2	7	9	11	2	8	1	3	7	6	3	9	9	1	1	3	5	10	5	3	5	1	3	3	27	5	7	6	1	5	2	41	3	5	8	2	0	0	3	0	2	1	1	2	0	0	4	1	2	1	1	4
Cavite Daily Photo	3	0	2	0	1	2	2	0	0	0	0	1	0	1	4	0	0	1	0	1	0	3	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
guttermorality	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	1	2	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	3	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
Let's Blabla	3	2	3	2	7	4	6	5	2	5	4	1	3	3	0	2	3	1	0	1	0	0	1	0	2	0	1	2	5	2	0	0	0	1	0	0	2	1	2	0	1	0	0	1	2	1	3	2	0	2	0	1	0	3	1	0	1	0	1	1	1	0	0	1	0
Monologue for 365 Days.	1	3	1	0	0	3	0	1	0	5	0	0	2	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
Parky's  Lot	8	3	1	2	2	0	2	0	0	1	0	1	1	0	1	0	0	1	0	2	2	1	0	2	1	1	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Annie's Sweet Pea Photography - Newborn, Baby, Infant, Children's and Family Photography	1	4	4	0	0	1	1	2	2	2	2	0	0	0	2	1	1	1	2	1	2	1	0	3	0	2	0	0	0	2	2	0	1	1	2	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
join the club.	1	2	2	6	1	3	3	3	4	2	0	1	0	2	0	1	0	6	0	4	0	1	1	0	0	1	0	2	0	1	0	0	1	1	1	1	0	0	0	0	0	2	0	0	1	0	2	0	0	1	0	1	0	0	0	0	3	0	0	3	0	1	0	0	0
jel's blogging it	10	6	6	18	3	15	3	3	2	1	8	6	3	3	1	2	1	2	11	2	3	2	1	2	0	3	3	0	2	3	0	2	3	0	1	2	3	0	0	0	3	0	3	5	1	0	0	2	1	1	3	11	5	0	1	3	0	0	0	1	2	0	0	0	4
Pencilmaniac's Diary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brian & Audrey Victor Family	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Tanner's Tales	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
F-Measure	9	4	1	2	2	1	1	1	0	0	3	1	0	4	3	0	2	1	1	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
older and wisor	4	0	1	1	3	2	0	3	4	2	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	2	0	0	3	1	0	1	2	1	1	0	0	0	0	4	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Jeff Kaiser	5	1	1	2	3	5	3	3	5	5	6	7	2	3	3	1	2	0	6	2	3	4	2	1	4	0	1	4	2	1	1	2	3	0	0	0	0	1	1	1	0	2	21	1	6	0	1	0	1	0	0	1	1	3	2	1	1	1	0	2	1	0	4	0	1
TQR Confidential	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WHITE/LIGHT	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lulu Haiku	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Jeanette Krzyzek Photography	4	3	6	12	2	4	2	1	2	6	3	5	2	1	1	5	1	1	5	2	1	3	2	1	0	2	2	0	3	4	3	2	1	2	2	1	1	0	6	4	2	1	0	0	1	5	0	2	0	4	3	0	0	0	1	3	0	1	0	0	1	0	0	0	0
Not Unlike the Waves	8	1	14	3	6	7	8	5	8	3	5	3	4	2	3	0	9	1	3	6	0	2	4	4	0	2	4	0	2	2	1	2	2	0	2	2	6	2	0	2	1	1	19	3	1	1	0	4	3	0	1	0	4	2	5	0	0	2	2	1	3	0	4	0	0
The Life and Times of the Snow Family	3	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Loney dear	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Walking backwards	7	5	6	5	2	13	2	3	1	0	4	0	3	1	4	2	2	4	1	1	2	1	6	3	5	1	3	6	2	4	5	1	2	0	3	3	2	1	0	0	0	1	0	0	5	2	0	0	1	0	2	1	0	1	0	2	2	3	0	5	2	1	1	1	1
Perfectly Imperfectly Perfect	1	0	3	0	0	1	0	2	0	0	0	1	2	1	0	1	1	1	0	0	0	0	3	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
